User_ID;T1_A;T1_B;T2_A;T2_B;T3_A;T3_B;T4_A;T4_B;T5_A;T5_B;T6_A;T6_B;T7_A;T7_B;T8_A;T8_B;suma_czas_A;suma_czas_B
01;48670;41250;25094;59660;32970;32970;40820;45145;37680;102036;98910;92386;178980;78223;122460;73763;585584;525433
02;100102;86755;61987;88890;117898;100102;100102;71184;113082;117898;213544;82242;71096;162388;155590;193504;933401;902963
03;67320;59600;61200;41254;82620;47239;68843;110158;61179;137662;134640;175950;38153;91746;68832;29020;582787;692629
04;27315;45792;26010;50371;28948;83936;59662;117797;76294;42794;87200;56562;153946;42449;34618;32112;493993;471813
05;56888;88631;127376;36330;65990;54546;72816;47786;122878;51587;229827;206436;111500;209162;67724;125348;854999;819826
06;49410;84168;122563;60241;31110;56730;49410;104220;29280;40260;51028;133590;150540;89670;84087;100650;567428;669529
07;43071;55365;43071;36898;67664;47173;61480;43047;55135;47173;203051;143571;123061;135643;67684;159980;664217;668850
08;85000;79777;62375;46810;58980;71081;86712;86735;41418;57245;78061;97131;97143;135306;50306;123119;559995;697204
09;121337;87776;36114;123911;54214;43888;141860;67072;77449;72124;260685;462112;105729;61959;105857;224481;903245;1143323
10;59892;70000;46000;101967;51846;63984;95934;38000;171982;70000;163916;114000;110000;158000;66000;104000;765570;719951
11;87214;68357;56571;73071;108429;66000;75429;75429;66000;94248;84832;120214;157929;122571;73071;68357;709475;688247
12;27371;64653;60596;33297;37224;62694;33304;74409;72490;31347;207673;137143;115548;111582;131265;52898;685471;568023
14;70541;38563;68265;27306;15791;79624;22755;68249;22755;50024;59163;154735;436898;77367;75092;31774;771260;527642
15;36342;55633;28776;42204;40286;49878;55633;67143;40286;40286;116986;232122;166898;86322;51796;105503;537003;679091
16;59755;39214;39214;35355;72827;31745;39214;130714;42949;65357;121378;205408;52286;115776;70808;181133;498431;804702
17;71400;40800;44191;50939;73100;47600;40800;68000;62900;66250;180185;52640;47600;47427;52691;37362;572867;411018
18;81320;71772;44900;68427;68395;40660;55625;32012;59920;42800;141150;19143;49210;143210;53465;87699;553985;505723
20;36121;117344;34582;38956;33031;64717;36121;51172;60202;60202;76738;99333;40636;73747;76758;42140;394189;547611
21;54781;60578;58776;41024;72490;48861;60496;42693;74257;64653;137136;156709;148898;120802;70428;119302;677262;654622
22;48140;63080;36520;41260;49800;43156;48140;34817;33178;64620;66400;138844;131112;205840;43130;53120;456420;644737
23;47173;67684;47173;36907;34867;53327;67572;53327;75888;47173;246122;82041;182541;133316;82007;112780;783343;586555
24;115563;35002;48496;27429;60735;33288;48966;45060;54418;33284;213551;238996;87857;93884;45061;105796;674647;612739
25;67320;39780;42828;58140;71910;27422;41310;71910;22950;73214;85667;48960;65779;58140;58140;27490;455904;405056
26;61200;45900;41230;57868;59521;41310;88671;45776;86954;45837;54997;76480;35069;105570;33639;85680;461281;504421
27;44816;81784;48468;41048;80295;61622;35468;56020;35480;67224;76561;126980;68968;95235;87765;52286;477821;582199
28;47830;69061;44122;47713;69061;53672;42013;130408;69061;53608;161143;115102;86327;55633;151463;59469;671020;584666
29;51180;57582;55449;46508;102367;61847;191939;108765;78908;46738;76776;142888;46918;59714;42653;113031;646190;637073
30;64000;83797;73422;28000;17984;68000;64000;52551;20000;39820;113930;135541;177996;50000;96486;132000;627818;589709
31;47173;61531;53327;61531;82041;53327;71773;24612;55378;38898;57429;68986;63582;227849;49224;69735;479927;606469
32;57074;37626;34611;34616;45116;46657;54119;27091;19566;55687;112879;158030;64717;103848;45152;66222;433234;529777
33;117551;80811;48928;71020;83265;75914;97959;124898;41376;58776;281633;102830;200816;139592;188571;73469;1060099;727310
34;34694;58808;24276;52026;84907;24286;67617;37801;72849;34616;48497;100612;86735;244592;69366;97140;488941;649881
35;62651;47006;64408;35265;78367;33306;129254;76408;29388;109583;71881;209489;60712;105796;123061;31347;619722;648200
36;45630;52969;56622;43837;54796;52969;113245;51143;63929;58449;65755;226490;111363;102286;73061;67558;584401;655701
37;59677;48943;38388;34025;38360;69916;44409;168480;44786;46918;42653;178977;322014;42529;245007;40464;835294;630252
38;120208;78039;46837;43678;51520;63971;99918;90551;67133;42015;96796;137388;62449;74939;28102;51520;572963;582101
39;50449;56755;37706;48330;33633;50449;71448;50439;60884;35735;199585;105102;218612;124018;65163;157653;737480;628481
40;71040;37609;28799;32640;118813;49766;59520;38400;32640;60721;69003;138240;64848;193735;46004;276480;490667;827591
41;51918;45311;29163;32332;74040;31649;97306;29171;29204;35694;29204;61653;58287;70357;40435;61380;409557;367547
42;86137;54653;42035;79844;31531;46245;50449;56754;31153;60936;194847;33377;363634;107204;124020;42041;923806;481054
